SKU,Title,Product Type,Description,Price,Quantity,Media Link,Media Type,Media Links
DIARFHW26004,,Rings,"LB 500
\NW 2.600
SIZE 13",500,1,https://gembox.app/s/ZCQHBiThb1,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774101349754-97d8c7a8360d3a8651b8-1bb7f87c592fd83922636fc871de88e1mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774101363632-a9dfc4b9ba7351c3630b-019d10ada2ca75579cfacdc7bf974f00original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774101363638-e7abfee09a6faaeafbdc-019d10ada2d575579cfae1e746477361original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774101349754-97d8c7a8360d3a8651b8-1bb7f87c592fd83922636fc871de88e1mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101363632-a9dfc4b9ba7351c3630b-019d10ada2ca75579cfacdc7bf974f00original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101363638-e7abfee09a6faaeafbdc-019d10ada2d575579cfae1e746477361original.png?tr=f-jpg
DIARFHW26005,,Rings,"LB 500
NW 2.580
SIZE 14",500,1,https://gembox.app/s/gqq6wewYDp,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774101256455-b0120def77f23c8a3893-2734ab63156f58ebac76f56ec68acf69mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774101268133-6e415f03b4fad300ce31-019d10ac251175579cfaa1b914d914fdoriginal.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774101268155-eee83fd44a296d7ecf2a-019d10ac252275579cfab881c9654f67original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774101256455-b0120def77f23c8a3893-2734ab63156f58ebac76f56ec68acf69mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101268133-6e415f03b4fad300ce31-019d10ac251175579cfaa1b914d914fdoriginal.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101268155-eee83fd44a296d7ecf2a-019d10ac252275579cfab881c9654f67original.png?tr=f-jpg
DIARFHW26006,,Rings,"LB 500
NW 2.590
SIZE 13",500,1,https://gembox.app/s/NsNRuJNqXh,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774101195184-d6fb92c42009ed2be749-e4028487d4b4229a5ebbe0173bcf3575mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774101203860-b4a56e02efdb59dd6675-019d10ab06b175579cfa7ff2954b106foriginal.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774101203865-c4a0e45d17b1e6292952-019d10ab06c175579cfa92fd21baf749original.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774101195184-d6fb92c42009ed2be749-e4028487d4b4229a5ebbe0173bcf3575mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101203860-b4a56e02efdb59dd6675-019d10ab06b175579cfa7ff2954b106foriginal.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101203865-c4a0e45d17b1e6292952-019d10ab06c175579cfa92fd21baf749original.png?tr=f-jpg
DIARFHW26007,,Rings,"LB 500
NW 2.580
SIZE 13",500,1,https://gembox.app/s/Fd1jRZsei8,video360,"https://media.gemlightbox.com/videos/gallery/207732/1774101113908-75045356b748b41dbb25-c0c713dad602ba896d9b23973bd50aa4mp4.mp4?tr=f-mp4,https://media.gemlightbox.com/images/gallery/207732/1774101123911-66960ae5c0093a767ab0-019d10a9f6e175579cfa509d828011d8original.png?tr=f-jpg,https://media.gemlightbox.com/images/gallery/207732/1774101123913-e6e655d117d558d596e9-019d10a9f6ef75579cfa6bda2ee0cd0boriginal.png?tr=f-jpg"
,,,,,,,video360,https://media.gemlightbox.com/videos/gallery/207732/1774101113908-75045356b748b41dbb25-c0c713dad602ba896d9b23973bd50aa4mp4.mp4?tr=f-mp4
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101123911-66960ae5c0093a767ab0-019d10a9f6e175579cfa509d828011d8original.png?tr=f-jpg
,,,,,,,image,https://media.gemlightbox.com/images/gallery/207732/1774101123913-e6e655d117d558d596e9-019d10a9f6ef75579cfa6bda2ee0cd0boriginal.png?tr=f-jpg
